name,ligID,targetID_autodock,instance_autodock,autodock,targetID_dsx,instance_dsx,dsx,rmsd_autodock_dsx,consensus
ZINC000000044494,lig4071,target001,autodock,-7.340,target001,autodock,-93.266,6.140,False
ZINC000000044507,lig4072,target001,autodock,-9.850,target001,autodock,-117.180,2.701,False
ZINC000000044517,lig4073,target001,dock,-8.870,target001,autodock,-101.892,0.113,True
ZINC000000044529,lig4074,target001,autodock,-8.490,target001,vina,-100.228,6.346,False
ZINC000000044536,lig4075,target001,vina,-9.400,target001,vina,-100.929,6.092,False
ZINC000000044568,lig4076,target001,autodock,-8.250,target001,autodock,-104.446,6.296,False
ZINC000000044601,lig4077,target001,autodock,-9.470,target001,vina,-114.638,4.510,False
ZINC000000044606,lig4078,target001,vina,-10.140,target001,vina,-110.443,5.395,False
ZINC000000044617,lig4079,target001,autodock,-8.610,target001,autodock,-105.703,4.087,False
ZINC000000044639,lig4080,target001,vina,-8.800,target001,vina,-95.735,6.980,False
ZINC000000044644,lig4081,target001,autodock,-9.260,target001,dock,-103.992,0.739,True
ZINC000000044689,lig4082,target001,dock,-8.780,target001,vina,-102.805,9.138,False
ZINC000000044692,lig4083,target001,autodock,-11.140,target001,dock,-108.013,2.494,False
ZINC000000044695,lig4084,target001,autodock,-9.150,target001,autodock,-105.058,6.945,False
ZINC000000044742,lig4085,target001,autodock,-9.170,target001,vina,-107.122,3.954,False
ZINC000000044749,lig4086,target001,dock,-8.210,target001,autodock,-113.163,4.166,False
ZINC000000044751,lig4087,target001,vina,-9.370,target001,vina,-105.876,4.435,False
ZINC000000044769,lig4088,target001,autodock,-8.940,target001,autodock,-100.012,5.062,False
ZINC000000044787,lig4089,target001,autodock,-9.410,target001,autodock,-117.196,0.000,True
ZINC000000044790,lig4090,target001,autodock,-9.100,target001,autodock,-93.511,5.099,False
ZINC000000044793,lig4091,target001,autodock,-9.620,target001,autodock,-107.911,12.995,False
ZINC000000044803,lig4092,target001,autodock,-8.760,target001,vina,-107.449,1.986,True
ZINC000000044844,lig4093,target001,autodock,-11.290,target001,vina,-102.372,4.982,False
ZINC000000044851,lig4094,target001,autodock,-8.200,target001,vina,-95.435,1.862,True
ZINC000000044857,lig4095,target001,vina,-8.080,target001,vina,-103.909,0.000,True
ZINC000000044865,lig4096,target001,vina,-7.070,target001,vina,-106.527,3.442,False
ZINC000000044873,lig4097,target001,autodock,-10.540,target001,autodock,-97.416,8.442,False
ZINC000000044882,lig4098,target001,autodock,-8.720,target001,vina,-125.834,5.810,False
ZINC000000044896,lig4099,target001,autodock,-9.440,target001,autodock,-98.727,4.497,False
ZINC000000044897,lig4100,target001,autodock,-7.470,target001,autodock,-92.470,0.000,True
ZINC000000044905,lig4101,target001,autodock,-8.890,target001,vina,-89.133,3.581,False
ZINC000000044915,lig4102,target001,autodock,-9.410,target001,autodock,-107.011,0.000,True
ZINC000000044923,lig4103,target001,vina,-9.990,target001,autodock,-111.206,4.429,False
ZINC000000044953,lig4104,target001,autodock,-7.890,target001,autodock,-103.755,3.243,False
ZINC000000044955,lig4105,target001,vina,-7.920,target001,vina,-96.547,3.822,False
ZINC000000044968,lig4106,target001,autodock,-8.660,target001,autodock,-105.893,0.000,True
ZINC000000044987,lig4107,target001,autodock,-9.020,target001,vina,-101.409,6.032,False
ZINC000000044998,lig4108,target001,autodock,-10.070,target001,autodock,-115.516,0.000,True
ZINC000000045018,lig4109,target001,autodock,-9.420,target001,autodock,-108.190,0.000,True
ZINC000000045038,lig4110,target001,autodock,-8.490,target001,autodock,-100.671,15.452,False
ZINC000000045042,lig4111,target001,vina,-9.990,target001,autodock,-103.865,5.857,False
ZINC000000045043,lig4112,target001,vina,-9.780,target001,vina,-108.579,5.980,False
ZINC000000045051,lig4113,target001,autodock,-9.040,target001,autodock,-112.944,4.963,False
ZINC000000045054,lig4114,target001,autodock,-9.230,target001,autodock,-101.806,10.373,False
ZINC000000045068,lig4115,target001,autodock,-10.890,target001,autodock,-96.780,5.519,False
ZINC000000045072,lig4116,target001,autodock,-10.460,target001,autodock,-108.217,0.000,True
ZINC000000045083,lig4117,target001,autodock,-9.760,target001,autodock,-111.448,5.329,False
ZINC000000045086,lig4118,target001,autodock,-9.070,target001,autodock,-106.623,12.840,False
ZINC000000045089,lig4119,target001,vina,-10.290,target001,vina,-117.176,0.000,True
