name,ligID,targetID_autodock,instance_autodock,autodock,targetID_vina,instance_vina,vina,targetID_dsx,instance_dsx,dsx,rmsd_autodock_vina,rmsd_autodock_dsx,consensus
ZINC000000000630,lig0246,target001,autodock,-8.440,target001,vina,-5.072,target001,dock,-82.774,28.156,21.568,False
ZINC000000000632,lig0247,target001,autodock,-8.500,target001,vina,-7.707,target001,vina,-99.155,1.880,1.880,True
ZINC000000000635,lig0248,target001,autodock,-7.850,target001,vina,-7.559,target001,autodock,-94.066,1.936,3.490,False
ZINC000000000637,lig0249,target001,autodock,-6.700,target001,vina,-6.203,target001,autodock,-82.470,5.247,0.000,False
ZINC000000000641,lig0250,target001,autodock,-7.960,target001,autodock,-8.266,target001,dock,-97.540,0.000,19.186,False
ZINC000000000644,lig0251,target001,autodock,-10.250,target001,autodock,-8.379,target001,autodock,-106.130,4.510,20.775,False
ZINC000000000645,lig0252,target001,autodock,-7.320,target001,autodock,-7.360,target001,dock,-87.661,6.254,20.187,False
ZINC000000000646,lig0253,target001,dock,-7.450,target001,vina,-7.303,target001,vina,-90.820,6.650,6.429,False
ZINC000000000647,lig0254,target001,vina,-10.390,target001,vina,-10.088,target001,vina,-122.536,0.000,5.664,False
ZINC000000000649,lig0255,target001,autodock,-8.720,target001,vina,-7.174,target001,autodock,-85.367,27.929,16.224,False
ZINC000000000652,lig0256,target001,autodock,-7.170,target001,vina,-6.110,target001,vina,-94.283,3.788,3.788,False
ZINC000000000657,lig0257,target001,autodock,-6.900,target001,vina,-7.375,target001,dock,-89.351,2.393,3.482,False
ZINC000000000660,lig0258,target001,autodock,-6.310,target001,vina,-6.018,target001,autodock,-67.738,21.753,21.872,False
ZINC000000000665,lig0259,target001,autodock,-4.960,target001,autodock,-5.547,target001,autodock,-76.997,3.160,0.000,False
ZINC000000000677,lig0260,target001,autodock,-9.720,target001,vina,-8.399,target001,vina,-109.252,4.125,1.952,False
